symbol,0.35,price,exp_return_3m,return,,return,purchased,,,price,return
NTAP,0,61.44,33.3,0.333,0,0,0,,,,
NTRS,0,106.3,22.58,0.2258,0,0,0,,,,
NUE,0,54.1,10.34,0.1034,0,0,0,,,,
NVDA,0,211.18,25.8,0.258,0,0,0,,,,
NVR,0,3632.19,1.6,0.016,0,0,0,,,,
NWL,0,19.29,19.81,0.1981,0,0,0,,,,
NWS,0,13.14,-8.05,-0.0805,0,0,0,,,,
NWSA,0,12.73,-8.55,-0.0855,0,0,0,,,,
O,0,77.99,7.54,0.0754,0,0,0,,,,
OKE,0,70.79,-0.38,-0.0038,0,0,0,,,,
OMC,0,77.5,0.06,0.0006,0,0,0,,,,
ORCL,0,56.24,6.15,0.0615,0,0,0,,,,
ORLY,0,438.7,14.47,0.1447,0,0,0,,,,
OXY,0,38.48,-14.98,-0.1498,0,0,0,,,,
PAYX,0,85.75,4.64,0.0464,0,0,0,,,,
PCAR,0,78.85,22.48,0.2248,0,0,0,,,,
PEG,0,61.21,4.72,0.0472,0,0,0,,,,
PEP,0,133.74,1.27,0.0127,0,0,0,,,,
PFE,0,37.05,7.05,0.0705,0,0,0,,,,
PFG,0,54.28,1.9,0.019,0,0,0,,,,
PG,0,122.29,2.85,0.0285,0,0,0,,,,
PGR,0,70.53,-8.08,-0.0808,0,0,0,,,,
PH,0,194.99,19.29,0.1929,0,0,0,,,,
PHM,0,39.64,21.41,0.2141,0,0,0,,,,
PKG,0,112.12,11.18,0.1118,0,0,0,,,,
PKI,0,90.52,10.34,0.1034,0,0,0,,,,
PLD,0,91.55,11.04,0.1104,0,0,0,,,,
PM,0,83.48,0.58,0.0058,0,0,0,,,,
PNC,0,151.78,20.27,0.2027,0,0,0,,,,
PNR,0,43.18,18.82,0.1882,0,0,0,,,,
PNW,0,87.28,-7.9,-0.079,0,0,0,,,,
PPG,0,126.5,14.69,0.1469,0,0,0,,,,
PPL,0,33.78,14.35,0.1435,0,0,0,,,,
PRGO,0,48.69,3.31,0.0331,0,0,0,,,,
PRU,0,93.12,15.46,0.1546,0,0,0,,,,
PSA,0,213.49,-18.06,-0.1806,0,0,0,,,,
PSX,0,116.06,17.61,0.1761,0,0,0,,,,
PWR,0,42.26,27.02,0.2702,0,0,0,,,,
PXD,0,130.47,3.06,0.0306,0,0,0,,,,
PYPL,0,104.09,-3.05,-0.0305,0,0,0,,,,
QCOM,0,85.62,12.55,0.1255,0,0,0,,,,
RCL,0,117,8.71,0.0871,0,0,0,,,,
RE,0,267.71,8.48,0.0848,0,0,0,,,,
REG,0,64.41,-0.91,-0.0091,0,0,0,,,,
REGN,0,344.24,16.29,0.1629,0,0,0,,,,
RF,0,16.41,17.21,0.1721,0,0,0,,,,
RHI,0,58.42,5.83,0.0583,0,0,0,,,,
RJF,0,88.97,16.1,0.161,0,0,0,,,,
RL,0,106.91,23.14,0.2314,0,0,0,,,,
RMD,0,149.64,10.58,0.1058,0,0,0,,,,
ROK,0,196.21,30.2,0.302,0,0,0,,,,
ROL,0,36.58,10.31,0.1031,0,0,0,,,,
ROP,0,353.08,-1.6,-0.016,0,0,0,,,,
ROST,0,110.44,6,0.06,0,0,0,,,,
RSG,0,87.71,-1.45,-0.0145,0,0,0,,,,
RTN,0,217.07,17.06,0.1706,0,0,0,,,,
SBAC,0,240.75,-7.42,-0.0742,0,0,0,,,,
SBUX,0,83.6,-12.58,-0.1258,0,0,0,,,,
SCHW,0,44.75,19.91,0.1991,0,0,0,,,,
SEE,0,37.46,-11.4,-0.114,0,0,0,,,,
SHW,0,576.02,9.93,0.0993,0,0,0,,,,
SIVB,0,228.38,18.34,0.1834,0,0,0,,,,
SJM,0,105.45,-7.97,-0.0797,0,0,0,,,,
SLB,0,36.14,6.61,0.0661,0,0,0,,,,
SLG,0,83.43,7.09,0.0709,0,0,0,,,,
SNA,0,158.69,8.09,0.0809,0,0,0,,,,
SNPS,0,140.84,8.37,0.0837,0,0,0,,,,
SO,0,62.78,8.82,0.0882,0,0,0,,,,
SPG,0,148.23,0.48,0.0048,0,0,0,,,,
SPGI,0,268.1,2.63,0.0263,0,0,0,,,,
SRE,0,147.86,5.87,0.0587,0,0,0,,,,
STI,0,70.42,17.17,0.1717,0,0,0,,,,
STT,0,73.01,44.55,0.4455,0,0,0,,,,
STX,0,59.61,28.55,0.2855,0,0,0,,,,
STZ,0,185.86,-8.21,-0.0821,0,0,0,,,,
SWK,0,153.67,12.97,0.1297,0,0,0,,,,
SWKS,0,96.04,25.15,0.2515,0,0,0,,,,
SYF,0,36.56,10.99,0.1099,0,0,0,,,,
SYK,0,204.3,-6.26,-0.0626,0,0,0,,,,
SYY,0,79.82,9.64,0.0964,0,0,0,,,,
T,0,37.18,6.29,0.0629,0,0,0,,,,
TAP,0,52.39,0.44,0.0044,0,0,0,,,,
TDG,0,575,7.56,0.0756,0,0,0,,,,
TEL,0,91.83,1.92,0.0192,0,0,0,,,,
TFX,0,352.97,-4.05,-0.0405,0,0,0,,,,
TIF,0,123.33,49.93,0.4993,0,0,0,,,,
TMO,0,307.33,11.27,0.1127,0,0,0,,,,
TMUS,0,77.64,-0.05,-0.0005,0,0,0,,,,
TPR,0,26.13,24.19,0.2419,0,0,0,,,,
TRIP,0,27.98,-26.43,-0.2643,0,0,0,,,,
TROW,0,120.93,12.16,0.1216,0,0,0,,,,
TRV,0,135.43,-7.56,-0.0756,0,0,0,,,,
TSCO,0,96.86,-3.98,-0.0398,0,0,0,,,,
TSN,0,90.62,2.7,0.027,0,0,0,,,,
TTWO,0,123.4,-6.11,-0.0611,0,0,0,,,,
TWTR,0,29.17,-31.02,-0.3102,0,0,0,,,,
TXN,0,116.23,-6.5,-0.065,0,0,0,,,,
TXT,0,45.99,2.75,0.0275,0,0,0,,,,
UA,0,15.43,-7.83,-0.0783,0,0,0,,,,
UAA,0,16.99,-8.41,-0.0841,0,0,0,,,,
UAL,0,91.7,9.13,0.0913,0,0,0,,,,
UDR,0,48.78,2.74,0.0274,0,0,0,,,,
UHS,0,140.5,-3.53,-0.0353,0,0,0,,,,
ULTA,0,234.29,-27.48,-0.2748,0,0,0,,,,
UNH,0,275.56,14.74,0.1474,0,0,0,,,,
UNM,0,29.57,12.18,0.1218,0,0,0,,,,
UNP,0,174.09,3.9,0.039,0,0,0,,,,
UPS,0,119.01,3.45,0.0345,0,0,0,,,,
USB,0,59.11,14.49,0.1449,0,0,0,,,,
UTX,0,146.65,15.76,0.1576,0,0,0,,,,
V,0,181.66,1.35,0.0135,0,0,0,,,,
VAR,0,129.01,19.39,0.1939,0,0,0,,,,
VFC,0,85.5,7.01,0.0701,0,0,0,,,,
VIAB,0,23.3,-11.21,-0.1121,0,0,0,,,,
VLO,0,97.19,24.59,0.2459,0,0,0,,,,
VMC,0,140.75,-0.85,-0.0085,0,0,0,,,,
